Age,Attrition,BusinessTravel,Department,EmployeeNumber,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction
26,No,Non-Travel,Software,33,Female,100,4,2,Sales Executive,2
42,No,Travel_Rarely,Sales,34,Male,86,3,3,Healthcare Representative,3
48,No,Travel_Frequently,Support,35,Male,111,3,5,Research Scientist,4
40,No,Travel_Rarely,Hardware,36,Male,186,4,5,Human Resources,4
24,No,Non-Travel,Human Resources,37,Female,103,3,4,Human Resources,1
22,No,Travel_Frequently,Support,38,Female,175,2,1,Sales Representative,1
58,Yes,Non-Travel,Research & Development,39,Female,64,3,5,Developer,4
30,Yes,Travel_Rarely,Research & Development,40,Male,106,1,3,Laboratory Technician,3
38,No,Travel_Frequently,Software,41,Male,129,2,2,Human Resources,3
60,Yes,Travel_Rarely,Research & Development,42,Male,136,3,3,Sales Representative,4
36,Yes,Non-Travel,Hardware,43,Male,138,1,1,Sales Executive,1
59,Yes,Non-Travel,Hardware,44,Female,154,2,2,Manager,1
45,No,Travel_Rarely,Support,45,Female,48,1,4,Developer,3
32,No,Travel_Frequently,Software,46,Female,56,1,3,Developer,1
56,No,Travel_Frequently,Software,47,Male,44,4,2,Sales Executive,3
57,No,Travel_Rarely,Support,48,Female,98,1,1,Sales Representative,2
53,Yes,Non-Travel,Research & Development,49,Female,85,3,4,Healthcare Representative,1
56,No,Travel_Frequently,Support,50,Female,95,4,5,Healthcare Representative,1
26,Yes,Non-Travel,Support,51,Female,200,1,2,Laboratory Technician,3
29,Yes,Travel_Rarely,Software,52,Male,57,4,1,Sales Executive,3
32,Yes,Travel_Rarely,Software,53,Female,170,1,3,Manager,4
23,Yes,Non-Travel,Sales,54,Male,78,4,1,Healthcare Representative,3
25,Yes,Travel_Rarely,Human Resources,55,Male,162,4,3,Manager,1
30,No,Non-Travel,Software,56,Male,119,2,5,Human Resources,1
18,Yes,Travel_Rarely,Human Resources,57,Female,181,4,3,Sales Representative,1
51,Yes,Non-Travel,Research & Development,58,Female,152,2,5,Sales Representative,3
57,Yes,Travel_Rarely,Human Resources,59,Female,168,1,2,Human Resources,2
59,Yes,Travel_Frequently,Research & Development,60,Female,168,4,5,Manufacturing Director,3
20,No,Travel_Frequently,Hardware,61,Female,55,1,3,Research Director,1
42,Yes,Non-Travel,Sales,62,Female,125,4,4,Research Director,3
23,Yes,Travel_Rarely,Hardware,63,Male,162,3,4,Healthcare Representative,2
53,Yes,Travel_Frequently,Sales,64,Female,90,2,2,Manufacturing Director,4
24,Yes,Travel_Rarely,Human Resources,65,Female,121,2,3,Developer,3
28,Yes,Travel_Rarely,Human Resources,66,Female,39,1,1,Human Resources,3
53,Yes,Travel_Rarely,Research & Development,67,Male,62,4,2,Developer,3
24,Yes,Travel_Rarely,Human Resources,68,Male,200,2,3,Manager,4
46,No,Travel_Frequently,Sales,69,Female,101,3,3,Research Scientist,3
49,No,Travel_Frequently,Support,70,Female,99,1,2,Healthcare Representative,2
27,Yes,Travel_Frequently,Software,71,Female,65,3,2,Human Resources,1
27,Yes,Non-Travel,Software,72,Female,175,1,3,Laboratory Technician,3
29,Yes,Travel_Rarely,Sales,73,Male,37,2,1,Sales Representative,4
46,Yes,Travel_Rarely,Support,74,Male,142,2,1,Sales Representative,1
57,Yes,Travel_Rarely,Hardware,75,Female,142,1,1,Research Scientist,1
18,No,Non-Travel,Software,76,Female,70,4,4,Laboratory Technician,3
47,Yes,Travel_Frequently,Research & Development,77,Female,67,2,2,Developer,2
22,No,Non-Travel,Software,78,Male,166,3,3,Research Scientist,4
33,No,Travel_Frequently,Research & Development,79,Female,89,4,4,Sales Representative,1
19,Yes,Travel_Frequently,Hardware,80,Female,193,4,4,Developer,4
52,Yes,Travel_Frequently,Hardware,81,Female,66,4,1,Developer,2
41,No,Travel_Frequently,Sales,82,Female,49,1,5,Manager,1
36,No,Non-Travel,Research & Development,83,Female,135,3,2,Human Resources,2
33,Yes,Travel_Frequently,Human Resources,84,Female,157,2,2,Sales Executive,4
54,Yes,Travel_Rarely,Research & Development,85,Female,189,4,4,Developer,2
24,No,Non-Travel,Sales,86,Female,168,2,2,Sales Representative,2
39,No,Non-Travel,Research & Development,87,Female,50,4,2,Research Director,4
23,No,Non-Travel,Research & Development,88,Female,37,2,1,Sales Representative,3
21,Yes,Travel_Frequently,Human Resources,89,Male,89,4,4,Human Resources,4
25,Yes,Travel_Frequently,Research & Development,90,Male,174,1,3,Research Director,2
36,Yes,Travel_Frequently,Software,91,Female,179,1,5,Sales Executive,3
18,Yes,Travel_Frequently,Support,92,Male,191,1,1,Sales Executive,2
37,Yes,Travel_Rarely,Support,93,Female,60,2,3,Manager,2
51,Yes,Travel_Frequently,Software,94,Female,43,1,5,Research Scientist,1
23,No,Travel_Frequently,Human Resources,95,Male,127,2,2,Developer,3
25,Yes,Travel_Frequently,Research & Development,96,Female,107,1,1,Human Resources,1
51,No,Travel_Rarely,Software,97,Male,163,3,1,Research Scientist,1
60,No,Travel_Rarely,Sales,98,Male,132,3,4,Research Director,1
24,Yes,Travel_Rarely,Human Resources,99,Male,49,2,2,Sales Representative,3
34,No,Travel_Rarely,Support,100,Female,193,2,3,Healthcare Representative,3
58,Yes,Travel_Frequently,Sales,101,Female,90,4,3,Manager,3
55,No,Non-Travel,Sales,102,Male,87,1,2,Manager,3
48,Yes,Non-Travel,Support,103,Male,99,1,1,Research Scientist,2
29,Yes,Travel_Rarely,Support,104,Female,195,1,3,Sales Representative,4
39,Yes,Travel_Rarely,Software,105,Female,88,1,1,Sales Representative,4
23,No,Travel_Rarely,Sales,106,Female,191,2,2,Healthcare Representative,1
47,No,Non-Travel,Human Resources,107,Male,100,2,2,Sales Executive,1
60,No,Travel_Frequently,Research & Development,108,Female,49,2,5,Research Director,1
36,No,Travel_Frequently,Software,109,Female,50,2,2,Sales Representative,3
49,Yes,Non-Travel,Software,110,Male,179,4,1,Manufacturing Director,4
28,Yes,Travel_Rarely,Hardware,111,Male,108,4,2,Laboratory Technician,4
26,No,Travel_Rarely,Research & Development,112,Female,88,2,1,Manager,1
28,Yes,Non-Travel,Sales,113,Male,183,1,1,Sales Representative,4
60,No,Travel_Rarely,Human Resources,114,Male,163,4,4,Sales Executive,4
32,Yes,Travel_Rarely,Hardware,115,Male,158,4,2,Healthcare Representative,3
58,Yes,Non-Travel,Research & Development,116,Female,105,4,1,Research Director,1
25,Yes,Non-Travel,Software,117,Female,185,1,1,Sales Representative,1
46,No,Non-Travel,Sales,118,Male,43,4,3,Sales Representative,1
49,No,Travel_Rarely,Research & Development,119,Male,64,4,1,Sales Representative,1
25,Yes,Travel_Frequently,Research & Development,120,Male,159,2,4,Human Resources,3
55,No,Non-Travel,Sales,121,Female,169,2,2,Sales Representative,1
43,No,Travel_Rarely,Support,122,Female,173,3,3,Manufacturing Director,1
25,No,Travel_Rarely,Hardware,123,Female,111,1,5,Sales Representative,1
32,No,Non-Travel,Sales,124,Female,60,2,5,Sales Representative,3
20,Yes,Travel_Rarely,Support,125,Female,99,3,5,Manager,1
33,No,Travel_Rarely,Software,126,Female,183,4,3,Laboratory Technician,3
49,Yes,Non-Travel,Sales,127,Female,74,3,2,Laboratory Technician,1
26,No,Non-Travel,Support,128,Male,93,3,3,Sales Executive,2
46,Yes,Non-Travel,Sales,129,Male,113,4,4,Manager,1
28,No,Travel_Frequently,Human Resources,130,Female,61,1,1,Laboratory Technician,1
42,No,Travel_Frequently,Software,131,Male,174,4,1,Manufacturing Director,2
59,Yes,Non-Travel,Research & Development,132,Male,74,3,5,Sales Representative,3
22,Yes,Non-Travel,Support,133,Female,43,4,5,Manufacturing Director,3
39,Yes,Travel_Rarely,Support,134,Male,93,4,5,Research Director,4
51,No,Non-Travel,Support,135,Male,183,1,5,Manager,4
45,No,Travel_Rarely,Human Resources,136,Male,162,1,1,Manufacturing Director,2
51,No,Non-Travel,Support,137,Male,169,2,1,Sales Representative,1
55,No,Non-Travel,Support,138,Male,149,1,3,Manufacturing Director,1
44,No,Travel_Frequently,Human Resources,139,Female,116,4,4,Sales Representative,1
44,No,Non-Travel,Sales,140,Female,171,4,2,Manufacturing Director,2
59,Yes,Non-Travel,Support,141,Female,140,3,3,Sales Executive,3
28,No,Non-Travel,Sales,142,Male,48,4,3,Sales Executive,4
57,No,Travel_Rarely,Hardware,143,Female,116,2,4,Research Scientist,3
45,No,Travel_Frequently,Software,144,Male,120,4,2,Manufacturing Director,1
50,No,Travel_Frequently,Sales,145,Male,153,1,4,Healthcare Representative,3
47,No,Travel_Frequently,Hardware,146,Male,131,2,3,Manufacturing Director,4
48,No,Travel_Frequently,Human Resources,147,Female,198,4,4,Human Resources,2
48,No,Travel_Rarely,Hardware,148,Female,152,4,4,Sales Representative,1
36,No,Travel_Frequently,Sales,149,Male,131,2,3,Human Resources,3
45,No,Travel_Rarely,Human Resources,150,Female,167,2,4,Developer,2
27,Yes,Travel_Rarely,Hardware,151,Male,51,3,1,Sales Representative,4
47,Yes,Non-Travel,Software,152,Female,140,4,2,Laboratory Technician,1
19,No,Non-Travel,Sales,153,Male,138,4,4,Research Director,4
40,No,Non-Travel,Research & Development,154,Male,186,2,4,Manager,2
60,Yes,Non-Travel,Human Resources,155,Female,65,3,2,Healthcare Representative,2
47,Yes,Non-Travel,Hardware,156,Male,198,1,3,Sales Representative,4
18,No,Travel_Frequently,Hardware,157,Female,147,4,1,Developer,3
29,Yes,Travel_Rarely,Human Resources,158,Female,154,3,3,Research Director,1
31,Yes,Travel_Rarely,Human Resources,159,Male,190,2,4,Manager,2
22,Yes,Non-Travel,Hardware,160,Female,42,1,3,Research Director,3
36,Yes,Travel_Rarely,Research & Development,161,Female,31,4,5,Human Resources,1
38,Yes,Travel_Rarely,Sales,162,Female,35,1,2,Manager,2
55,Yes,Travel_Rarely,Support,163,Male,198,2,5,Human Resources,3
44,No,Travel_Frequently,Hardware,164,Male,94,4,2,Sales Representative,1
27,No,Non-Travel,Research & Development,165,Male,105,3,3,Research Director,1
43,No,Non-Travel,Software,166,Female,68,3,2,Manager,3
51,Yes,Non-Travel,Research & Development,167,Male,161,1,4,Laboratory Technician,2
42,No,Travel_Rarely,Research & Development,168,Male,69,3,1,Research Scientist,4
47,No,Non-Travel,Software,169,Male,169,3,2,Laboratory Technician,4
33,No,Travel_Frequently,Human Resources,170,Male,55,1,2,Manufacturing Director,1
41,Yes,Travel_Frequently,Sales,171,Male,119,3,1,Research Scientist,4
44,Yes,Travel_Frequently,Software,172,Female,174,3,5,Manager,2
32,Yes,Travel_Frequently,Research & Development,173,Female,139,4,3,Manager,4
42,No,Non-Travel,Research & Development,174,Female,67,3,2,Developer,2
49,No,Non-Travel,Human Resources,175,Female,129,4,1,Sales Executive,1
41,Yes,Non-Travel,Hardware,176,Female,114,1,5,Developer,3
57,Yes,Travel_Frequently,Hardware,177,Female,34,4,2,Human Resources,3
22,Yes,Travel_Rarely,Software,178,Female,163,4,1,Manufacturing Director,1
36,Yes,Travel_Rarely,Support,179,Female,187,1,1,Research Scientist,4
35,No,Travel_Frequently,Human Resources,180,Male,37,4,1,Developer,1
48,Yes,Non-Travel,Hardware,181,Female,173,2,2,Human Resources,2
21,No,Travel_Frequently,Hardware,182,Female,152,2,4,Research Scientist,4
31,No,Non-Travel,Software,183,Male,196,4,5,Healthcare Representative,1
54,No,Travel_Frequently,Sales,184,Male,144,2,3,Sales Representative,1
22,Yes,Travel_Frequently,Support,185,Female,55,3,4,Human Resources,3
35,No,Travel_Frequently,Sales,186,Female,79,1,1,Manufacturing Director,1
49,No,Travel_Frequently,Human Resources,187,Female,142,2,5,Healthcare Representative,4
50,Yes,Travel_Frequently,Sales,188,Female,172,4,4,Laboratory Technician,3
33,Yes,Travel_Rarely,Sales,189,Female,177,3,5,Sales Executive,3
39,Yes,Travel_Frequently,Sales,190,Female,80,3,4,Research Scientist,2
26,Yes,Non-Travel,Research & Development,191,Male,148,4,2,Sales Representative,4
22,Yes,Travel_Rarely,Research & Development,192,Male,121,2,5,Human Resources,1
46,Yes,Non-Travel,Human Resources,193,Female,147,3,1,Sales Representative,2
26,No,Travel_Frequently,Research & Development,194,Male,91,1,3,Manager,2
58,Yes,Travel_Frequently,Software,195,Male,50,1,2,Research Scientist,3
19,Yes,Travel_Frequently,Sales,196,Male,162,2,4,Human Resources,4
35,No,Travel_Frequently,Hardware,197,Female,78,4,5,Sales Executive,3
22,No,Travel_Rarely,Research & Development,198,Female,135,4,5,Manager,4
19,No,Travel_Rarely,Sales,199,Male,50,4,2,Human Resources,3
30,Yes,Travel_Rarely,Sales,200,Female,83,3,1,Human Resources,4
54,No,Travel_Frequently,Sales,201,Female,145,2,4,Laboratory Technician,3
19,No,Non-Travel,Research & Development,202,Male,116,3,4,Manager,3
31,Yes,Travel_Frequently,Hardware,203,Female,40,2,4,Laboratory Technician,4
48,No,Non-Travel,Research & Development,204,Male,138,1,5,Healthcare Representative,1
47,Yes,Travel_Rarely,Hardware,205,Female,192,2,5,Laboratory Technician,3
47,Yes,Travel_Frequently,Software,206,Male,187,4,5,Manager,4
18,Yes,Travel_Frequently,Hardware,207,Female,163,1,5,Manufacturing Director,2
25,Yes,Non-Travel,Software,208,Male,62,2,4,Manufacturing Director,4
32,No,Travel_Rarely,Hardware,209,Female,57,2,5,Research Director,2
48,Yes,Non-Travel,Support,210,Female,125,1,3,Research Scientist,3
31,No,Non-Travel,Hardware,211,Male,55,3,3,Manufacturing Director,1
50,Yes,Travel_Rarely,Sales,212,Male,181,4,4,Sales Executive,1
22,No,Travel_Frequently,Sales,213,Male,113,2,2,Sales Representative,2
57,No,Non-Travel,Sales,214,Male,118,1,3,Developer,1
32,Yes,Travel_Frequently,Hardware,215,Female,174,2,3,Laboratory Technician,1
57,Yes,Travel_Frequently,Research & Development,216,Male,166,3,2,Developer,2
48,Yes,Non-Travel,Research & Development,217,Female,148,2,4,Sales Representative,2
50,No,Non-Travel,Human Resources,218,Male,61,3,4,Developer,3
28,No,Travel_Rarely,Support,219,Male,103,2,5,Sales Representative,2
29,No,Non-Travel,Human Resources,220,Male,62,3,1,Developer,2
27,Yes,Non-Travel,Hardware,221,Male,161,2,5,Sales Executive,2
18,No,Non-Travel,Research & Development,222,Male,83,3,2,Research Scientist,4
48,No,Travel_Frequently,Human Resources,223,Male,135,1,5,Research Director,2
36,No,Travel_Frequently,Research & Development,224,Male,152,4,2,Sales Executive,4
57,Yes,Travel_Frequently,Software,225,Female,177,1,2,Human Resources,1
54,No,Travel_Frequently,Software,226,Female,96,1,2,Healthcare Representative,1
44,Yes,Travel_Frequently,Sales,227,Male,173,2,2,Manufacturing Director,2
59,No,Non-Travel,Sales,228,Female,188,4,2,Healthcare Representative,2
50,Yes,Travel_Rarely,Software,229,Male,105,2,5,Manufacturing Director,1
19,Yes,Travel_Rarely,Support,230,Male,75,3,3,Healthcare Representative,1
56,No,Non-Travel,Research & Development,231,Male,37,2,3,Research Director,4
60,Yes,Travel_Frequently,Human Resources,232,Male,198,4,1,Manufacturing Director,3
52,Yes,Travel_Rarely,Human Resources,233,Male,157,4,3,Manufacturing Director,1
34,No,Travel_Frequently,Software,234,Female,199,1,5,Developer,3
50,No,Travel_Rarely,Research & Development,235,Female,151,4,5,Sales Executive,1
43,No,Non-Travel,Support,236,Male,144,2,4,Sales Representative,2
21,No,Non-Travel,Research & Development,237,Male,102,3,1,Healthcare Representative,1
42,Yes,Travel_Frequently,Sales,238,Female,189,2,5,Healthcare Representative,4
22,Yes,Non-Travel,Sales,239,Male,65,1,2,Healthcare Representative,3
49,No,Non-Travel,Support,240,Male,132,4,2,Healthcare Representative,3
44,No,Travel_Rarely,Research & Development,241,Female,108,3,3,Human Resources,4
60,No,Non-Travel,Support,242,Female,53,1,3,Developer,4
27,Yes,Travel_Rarely,Software,243,Female,75,4,3,Laboratory Technician,1
37,No,Travel_Frequently,Support,244,Male,151,4,4,Laboratory Technician,4
47,No,Travel_Frequently,Support,245,Female,94,1,5,Sales Representative,2
24,Yes,Travel_Rarely,Research & Development,246,Male,190,1,1,Research Director,2
44,No,Travel_Frequently,Research & Development,247,Male,173,3,4,Sales Representative,4
21,No,Travel_Rarely,Support,248,Female,30,4,2,Human Resources,4
37,Yes,Travel_Frequently,Hardware,249,Female,136,2,3,Developer,1
60,No,Non-Travel,Research & Development,250,Male,169,2,2,Manufacturing Director,1
32,Yes,Travel_Rarely,Human Resources,251,Male,48,4,3,Sales Executive,2
59,Yes,Travel_Rarely,Sales,252,Female,119,2,4,Human Resources,2
47,No,Travel_Rarely,Support,253,Female,74,3,4,Sales Executive,1
50,Yes,Travel_Rarely,Hardware,254,Male,115,1,1,Laboratory Technician,3
27,No,Non-Travel,Support,255,Female,168,1,3,Healthcare Representative,3
29,No,Travel_Frequently,Software,256,Male,131,3,3,Healthcare Representative,1
54,No,Travel_Frequently,Human Resources,257,Male,180,2,3,Developer,1
55,No,Non-Travel,Hardware,258,Female,86,3,5,Manufacturing Director,4
48,Yes,Non-Travel,Support,259,Male,157,1,4,Manufacturing Director,1
23,Yes,Travel_Frequently,Hardware,260,Male,80,4,3,Developer,3
33,No,Travel_Frequently,Sales,261,Female,162,4,4,Human Resources,4
30,No,Travel_Rarely,Support,262,Male,182,3,2,Sales Representative,1
48,Yes,Travel_Frequently,Human Resources,263,Female,137,1,2,Healthcare Representative,1
57,Yes,Travel_Rarely,Sales,264,Male,67,4,3,Manager,3
26,Yes,Travel_Rarely,Hardware,265,Female,93,4,5,Laboratory Technician,3
55,No,Non-Travel,Software,266,Female,170,4,3,Human Resources,4
48,No,Non-Travel,Hardware,267,Male,42,2,5,Manager,3
60,No,Non-Travel,Support,268,Female,101,3,2,Laboratory Technician,3
45,Yes,Travel_Frequently,Support,269,Female,182,1,5,Manufacturing Director,3
25,Yes,Non-Travel,Software,270,Female,196,4,4,Manufacturing Director,1
33,No,Travel_Rarely,Software,271,Male,190,2,5,Human Resources,2
36,No,Non-Travel,Hardware,272,Female,147,2,3,Developer,1
31,Yes,Travel_Frequently,Software,273,Male,77,3,1,Research Director,1
35,Yes,Non-Travel,Software,274,Male,157,1,3,Research Director,1
60,No,Non-Travel,Hardware,275,Male,177,4,1,Developer,1
27,No,Travel_Rarely,Support,276,Female,199,4,2,Sales Executive,2
42,Yes,Non-Travel,Support,277,Male,91,3,5,Sales Executive,2
49,Yes,Non-Travel,Support,278,Male,149,3,3,Laboratory Technician,4
41,Yes,Travel_Rarely,Human Resources,279,Female,37,3,1,Research Scientist,3
42,Yes,Travel_Rarely,Software,280,Male,73,2,1,Healthcare Representative,1
56,Yes,Non-Travel,Support,281,Female,77,2,2,Healthcare Representative,2
44,Yes,Non-Travel,Hardware,282,Male,99,2,1,Sales Representative,4
56,No,Travel_Frequently,Sales,283,Female,80,1,1,Manager,1
40,Yes,Non-Travel,Research & Development,284,Male,81,1,5,Manager,3
53,No,Non-Travel,Human Resources,285,Male,59,4,4,Manufacturing Director,1
48,No,Travel_Frequently,Research & Development,286,Male,128,2,3,Sales Executive,1
21,No,Non-Travel,Human Resources,287,Female,91,4,4,Research Scientist,3
55,No,Non-Travel,Research & Development,288,Male,51,3,5,Sales Representative,3
60,No,Travel_Rarely,Research & Development,289,Female,43,2,5,Human Resources,1
52,Yes,Travel_Frequently,Support,290,Female,100,4,2,Manufacturing Director,4
22,No,Travel_Frequently,Hardware,291,Male,104,1,3,Sales Executive,3
26,No,Non-Travel,Sales,292,Male,90,1,2,Healthcare Representative,3
30,Yes,Travel_Frequently,Human Resources,293,Male,49,2,1,Human Resources,3
57,No,Travel_Frequently,Sales,294,Female,65,1,5,Developer,3
52,Yes,Travel_Frequently,Human Resources,295,Female,195,3,2,Manager,3
29,No,Travel_Rarely,Software,296,Male,197,2,1,Research Scientist,3
43,Yes,Travel_Frequently,Hardware,297,Female,182,2,5,Research Director,3
60,No,Travel_Frequently,Research & Development,298,Female,67,4,5,Research Scientist,4
20,Yes,Travel_Frequently,Software,299,Male,154,2,1,Sales Representative,2
45,Yes,Travel_Frequently,Human Resources,300,Male,89,3,1,Human Resources,2
36,No,Non-Travel,Human Resources,301,Female,65,1,5,Research Scientist,4
39,Yes,Non-Travel,Sales,302,Female,161,3,3,Research Director,2
23,Yes,Travel_Frequently,Human Resources,303,Male,43,3,4,Sales Executive,4
39,Yes,Travel_Rarely,Software,304,Female,101,2,1,Human Resources,1
20,Yes,Non-Travel,Sales,305,Male,192,2,1,Laboratory Technician,4
36,Yes,Non-Travel,Human Resources,306,Female,133,4,1,Sales Representative,2
37,No,Travel_Frequently,Hardware,307,Male,121,4,1,Healthcare Representative,2
51,No,Travel_Frequently,Human Resources,308,Female,63,2,4,Manager,3
53,No,Travel_Rarely,Hardware,309,Male,75,3,4,Sales Executive,4
44,Yes,Travel_Rarely,Sales,310,Female,117,4,4,Research Scientist,3
36,No,Travel_Frequently,Software,311,Male,123,4,5,Sales Executive,4
43,Yes,Travel_Frequently,Hardware,312,Female,117,1,3,Manufacturing Director,2
45,No,Non-Travel,Sales,313,Male,30,2,2,Human Resources,2
21,No,Non-Travel,Human Resources,314,Male,58,1,1,Sales Executive,4
49,No,Non-Travel,Human Resources,315,Male,128,2,2,Laboratory Technician,1
47,No,Travel_Frequently,Support,316,Female,200,3,5,Laboratory Technician,1
51,Yes,Travel_Frequently,Sales,317,Female,90,3,3,Research Scientist,4
55,No,Travel_Frequently,Sales,318,Male,75,4,4,Research Scientist,1
43,Yes,Travel_Rarely,Support,319,Male,92,4,3,Manufacturing Director,3
37,Yes,Travel_Rarely,Human Resources,320,Female,80,4,4,Manager,2
60,No,Non-Travel,Hardware,321,Female,168,4,4,Laboratory Technician,1
19,No,Non-Travel,Human Resources,322,Male,174,2,2,Healthcare Representative,3
44,Yes,Travel_Frequently,Software,323,Female,113,1,1,Healthcare Representative,2
58,Yes,Non-Travel,Software,324,Male,127,1,1,Manager,2
47,Yes,Travel_Rarely,Sales,325,Male,82,3,5,Manager,3
53,No,Travel_Frequently,Hardware,326,Female,190,2,4,Research Director,3
42,No,Travel_Frequently,Research & Development,327,Male,58,1,3,Manufacturing Director,2
30,No,Travel_Frequently,Research & Development,328,Male,70,3,5,Sales Executive,4
43,Yes,Travel_Rarely,Software,329,Female,141,2,2,Healthcare Representative,2
25,Yes,Travel_Rarely,Sales,330,Male,98,1,5,Sales Executive,2
44,No,Non-Travel,Research & Development,331,Female,78,4,4,Laboratory Technician,3
28,No,Travel_Frequently,Software,332,Female,188,4,2,Manager,4
41,Yes,Non-Travel,Support,333,Male,67,3,2,Sales Executive,1
38,Yes,Travel_Rarely,Hardware,334,Female,34,1,2,Laboratory Technician,1
50,Yes,Non-Travel,Software,335,Female,153,4,4,Healthcare Representative,4
23,No,Travel_Frequently,Support,336,Female,160,4,4,Human Resources,3
36,Yes,Travel_Rarely,Human Resources,337,Female,171,3,2,Research Scientist,4
40,Yes,Non-Travel,Support,338,Female,187,1,2,Human Resources,1
38,No,Travel_Frequently,Sales,339,Female,179,1,3,Sales Representative,2
55,Yes,Non-Travel,Hardware,340,Female,165,4,1,Laboratory Technician,3
43,Yes,Travel_Rarely,Human Resources,341,Female,193,2,1,Human Resources,1
51,Yes,Travel_Frequently,Hardware,342,Female,45,2,2,Human Resources,1
44,No,Non-Travel,Human Resources,343,Male,107,2,4,Sales Executive,3
34,No,Travel_Frequently,Sales,344,Male,159,1,2,Manager,4
30,No,Travel_Frequently,Human Resources,345,Male,53,3,3,Research Director,4
54,No,Travel_Rarely,Hardware,346,Male,85,4,5,Healthcare Representative,3
48,Yes,Travel_Rarely,Hardware,347,Female,124,4,5,Developer,4
25,No,Non-Travel,Hardware,348,Male,43,4,4,Manufacturing Director,3
44,Yes,Travel_Rarely,Sales,349,Male,141,2,5,Research Director,3
25,No,Non-Travel,Research & Development,350,Female,77,3,2,Research Scientist,3
24,No,Travel_Frequently,Sales,351,Female,186,2,5,Manager,4
26,Yes,Non-Travel,Support,352,Male,40,3,2,Sales Executive,3
34,Yes,Non-Travel,Human Resources,353,Female,101,1,4,Research Director,3
21,Yes,Travel_Frequently,Human Resources,354,Male,176,2,1,Developer,3
22,No,Non-Travel,Human Resources,355,Female,117,2,5,Sales Representative,2
20,Yes,Non-Travel,Hardware,356,Female,100,3,5,Manager,4
43,Yes,Non-Travel,Software,357,Female,63,1,2,Laboratory Technician,4
18,No,Non-Travel,Sales,358,Male,167,2,2,Research Director,1
30,Yes,Non-Travel,Hardware,359,Female,82,4,4,Manufacturing Director,3
24,Yes,Travel_Frequently,Research & Development,360,Female,193,4,1,Laboratory Technician,4
52,No,Non-Travel,Sales,361,Male,30,1,4,Research Scientist,1
57,No,Travel_Frequently,Research & Development,362,Female,130,2,2,Sales Representative,1
27,No,Non-Travel,Research & Development,363,Female,86,2,2,Manager,3
40,No,Travel_Rarely,Sales,364,Male,137,1,5,Human Resources,4
22,Yes,Non-Travel,Human Resources,365,Male,159,3,2,Manufacturing Director,2
22,Yes,Non-Travel,Software,366,Female,111,2,1,Healthcare Representative,2
42,Yes,Non-Travel,Support,367,Male,193,2,2,Manager,4
42,No,Travel_Frequently,Software,368,Male,148,3,1,Human Resources,3
19,Yes,Travel_Rarely,Software,369,Male,72,3,5,Developer,1
24,No,Travel_Rarely,Sales,370,Male,187,4,1,Laboratory Technician,2
