Employee ID,MonthlyIncome,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion
682,29055,No,23,27,1,14,10
687,29728,No,31,34,4,4,9
690,44455,Yes,6,39,2,14,8
693,41400,No,23,16,2,3,10
695,38493,Yes,40,30,1,29,19
698,4855,No,13,6,3,2,2
699,38988,No,27,2,2,1,1
702,42980,No,25,25,1,20,19
706,9448,No,28,19,2,13,7
707,44013,Yes,7,3,4,2,1
708,12066,Yes,13,21,1,2,9
710,11018,No,5,10,1,1,6
713,37746,No,43,13,1,4,5
718,23897,Yes,46,38,2,17,11
720,35325,Yes,4,6,4,3,1
724,3332,No,8,15,2,4,2
726,46825,No,28,23,2,1,1
728,48964,Yes,25,39,3,4,4
729,21245,No,5,14,1,9,3
740,47714,No,18,24,1,1,4
745,11925,Yes,11,6,3,1,1
747,39115,Yes,37,33,1,1,19
751,37202,Yes,23,24,2,5,12
756,18454,Yes,25,1,4,1,1
758,11209,Yes,26,1,2,1,1
762,44148,Yes,23,29,1,5,8
768,44773,No,16,21,1,8,2
769,1850,Yes,28,2,2,1,1
770,42033,Yes,19,35,2,23,4
771,20887,No,33,40,4,5,6
778,8892,Yes,31,34,1,4,8
787,17909,Yes,11,12,2,7,7
788,44476,No,24,4,3,2,1
803,2849,No,22,28,2,19,9
804,8743,No,44,26,1,10,10
805,36275,No,36,27,2,7,8
806,49280,No,27,5,2,1,2
809,8170,No,24,28,4,5,2
810,8543,Yes,16,15,1,1,1
813,23507,Yes,10,32,2,18,1
814,41306,No,16,1,4,1,1
815,42772,Yes,11,19,4,3,3
816,29775,No,11,16,3,9,11
819,30980,Yes,44,8,4,1,3
822,43089,No,23,17,4,1,2
824,4519,No,19,39,2,21,24
826,11810,No,31,36,1,17,21
835,20076,No,17,1,4,1,1
837,43655,No,12,39,1,9,1
845,14631,No,32,16,3,11,12
849,4829,Yes,29,9,4,5,2
857,34463,Yes,11,12,3,2,2
867,14757,No,36,32,1,20,29
886,35369,Yes,12,22,2,1,4
887,27243,No,14,16,4,1,1
890,45341,Yes,24,18,2,6,6
896,11820,No,39,4,3,1,1
907,28856,Yes,16,35,4,22,20
910,41882,No,22,9,3,1,3
924,4039,Yes,47,14,1,1,1
925,19299,No,29,27,1,6,8
932,45986,Yes,28,16,3,4,4
933,29932,Yes,33,29,3,4,7
940,50772,Yes,3,15,1,2,4
941,21668,Yes,22,37,4,1,5
945,30584,Yes,30,27,2,17,8
947,18737,No,1,27,4,2,1
950,25550,No,32,7,1,1,2
953,45189,Yes,32,1,2,1,1
957,47966,Yes,16,24,1,3,5
958,21111,No,13,10,3,5,2
960,7233,Yes,39,21,4,1,2
962,50628,Yes,23,18,2,2,2
975,25710,Yes,45,38,3,14,1
976,21615,Yes,28,24,1,14,5
977,36980,No,19,22,3,2,8
979,35483,Yes,32,29,1,7,26
991,9892,Yes,29,13,4,3,1
1004,23355,Yes,41,22,2,9,6
1005,26291,Yes,27,8,2,1,1
1008,26085,No,25,8,1,1,1
1010,44673,No,36,18,1,2,11
1013,38371,Yes,5,21,2,6,9
1019,4335,Yes,41,10,4,3,1
1025,48135,Yes,49,19,1,2,1
1032,32605,No,0,38,4,29,24
1036,35177,Yes,28,32,3,1,1
1039,7427,No,1,36,3,6,8
1040,44775,No,25,37,4,33,8
1042,19132,No,43,30,3,6,24
1067,46735,No,25,3,3,1,1
1073,15226,No,22,31,4,15,7
1075,8253,No,0,33,3,10,7
1082,16149,Yes,42,25,4,2,6
1089,36782,Yes,22,36,1,1,22
1090,7058,Yes,48,14,3,2,5
1093,18761,Yes,17,11,2,6,8
1094,2909,Yes,38,27,1,8,5
1098,19089,Yes,43,32,4,10,12
1099,17750,No,39,34,1,7,6
1107,47312,Yes,38,39,4,6,6
1111,9058,Yes,32,3,2,1,1
1112,11786,No,41,23,1,1,4
1113,39611,Yes,0,26,3,4,2
1119,32189,Yes,9,4,2,1,1
1125,12970,No,26,8,2,1,1
1130,45913,Yes,30,38,3,6,9
1131,33015,No,38,8,4,2,1
1133,34120,No,22,38,2,11,6
1137,13480,No,23,33,4,15,32
1138,21781,Yes,36,32,2,20,11
1146,38156,No,2,2,1,1,1
1148,50340,Yes,27,15,3,11,7
1151,12745,No,2,6,3,4,3
1156,24205,No,32,10,2,7,1
1160,28912,No,44,2,4,2,2
1161,34584,No,13,37,4,1,10
1170,10547,Yes,2,17,4,1,7
1171,25761,Yes,42,21,1,13,15
1173,44345,Yes,2,32,4,3,4
1178,44955,No,41,18,3,6,1
1185,11152,No,36,22,3,7,12
1186,11154,Yes,33,8,4,2,5
1188,31215,Yes,16,20,1,15,15
1195,15047,No,7,35,4,8,9
1200,34357,No,9,32,4,5,10
1201,15688,Yes,45,34,4,13,3
1219,33812,Yes,25,13,2,1,1
1221,12857,Yes,0,39,2,20,11
1222,41742,No,13,22,3,8,8
1224,17861,No,45,13,4,3,2
1226,29876,No,22,22,1,3,3
1227,16188,No,11,37,3,3,8
1231,3654,Yes,6,26,3,6,2
1238,38974,Yes,11,6,2,1,4
1239,19332,Yes,38,3,2,1,2
1241,31540,Yes,32,1,1,1,1
1244,33640,Yes,37,33,1,4,4
1245,18620,Yes,26,6,2,1,2
1248,29213,Yes,14,9,3,6,1
1253,50865,Yes,6,8,1,3,4
1255,33801,Yes,7,39,3,11,13
1256,35816,Yes,22,2,4,1,1
1257,11380,No,10,17,4,1,2
1258,3819,Yes,25,27,3,10,1
1264,42551,No,44,13,2,1,1
1266,18616,No,34,27,2,1,1
1268,30415,No,12,14,1,5,3
1269,21827,Yes,37,18,1,4,4
1272,13261,No,0,20,1,1,1
1295,27754,Yes,45,3,1,2,2
1296,18761,Yes,2,30,2,2,3
1305,6094,No,39,6,1,1,3
1308,21934,No,48,21,3,2,2
1312,9367,No,28,16,2,1,1
1318,4809,No,43,12,2,2,3
1323,16366,Yes,12,38,4,5,1
1325,4823,Yes,41,32,2,24,15
1327,18778,No,11,27,4,1,1
1328,7630,No,36,11,3,3,2
1335,35905,No,48,32,4,3,4
1336,7228,Yes,8,5,4,1,1
1338,24394,Yes,19,37,4,2,1
1340,3721,No,27,21,2,3,2
1341,6194,Yes,16,24,3,3,8
1342,3443,No,21,18,1,1,1
1343,49365,Yes,29,12,2,7,3
1344,8666,Yes,32,26,3,5,2
1349,44649,No,36,3,1,1,1
1350,9677,Yes,45,6,2,1,3
1352,14852,Yes,43,5,1,2,2
1353,17778,Yes,5,12,4,7,10
1363,1245,Yes,4,37,4,9,14
1372,8518,Yes,20,38,3,13,15
1381,1455,No,15,3,4,1,1
1382,3864,Yes,32,17,2,2,2
1383,18318,Yes,26,7,2,2,2
1385,3920,Yes,42,36,1,7,17
1390,15695,Yes,0,11,2,3,2
1394,35177,No,31,2,1,1,1
1402,34878,No,46,10,1,1,4
1406,41848,No,22,40,3,1,29
1408,30398,No,13,24,2,8,3
1409,17466,No,22,12,1,1,7
1411,4426,Yes,42,24,2,15,13
1413,12180,Yes,11,10,3,7,5
1421,47175,Yes,42,14,1,1,1
1427,31452,Yes,0,6,1,1,1
1432,7375,Yes,14,21,3,3,1
1433,49878,Yes,22,1,4,1,1
1437,20049,Yes,34,29,3,4,5
1438,44833,No,8,11,3,1,10
1442,25282,No,37,23,3,2,3
1452,46083,No,42,33,3,4,2
1455,43736,Yes,6,26,1,14,2
1459,37345,No,2,7,4,5,2
1461,16181,No,46,32,2,1,1
1463,18786,Yes,35,14,4,8,5
1468,20346,Yes,41,33,2,21,19
1478,6713,Yes,35,18,2,3,1
1484,20674,Yes,13,23,2,4,4
1488,24666,No,44,24,1,5,4
1491,43349,Yes,13,26,4,5,10
1492,12387,No,45,30,3,3,2
1500,26559,No,48,2,4,1,1
1501,50831,Yes,7,27,3,3,3
1503,28378,No,21,32,3,15,9
1504,34888,No,8,13,3,9,10
1513,43530,No,36,38,3,8,5
1526,30194,Yes,42,19,3,5,12
1529,31966,Yes,23,37,1,17,5
1531,35492,Yes,9,16,4,9,9
1532,35470,No,24,12,3,1,2
1539,8907,Yes,4,22,3,12,5
1542,9894,No,7,39,4,22,18
1544,20567,Yes,44,5,3,2,1
1548,9981,No,6,9,3,6,6
1551,17613,No,20,6,2,1,1
1552,2903,Yes,2,12,2,4,3
1559,3096,No,31,20,3,12,7
1563,14740,No,15,24,1,2,15
1574,7182,Yes,45,5,4,1,1
1581,34153,No,38,12,2,8,6
1583,11078,Yes,34,4,3,1,1
1592,11316,Yes,23,40,4,8,15
1594,36545,No,13,32,1,6,31
1598,35089,Yes,44,16,3,3,4
1601,25837,Yes,29,17,4,3,5
1603,50869,Yes,2,12,1,3,8
1605,21317,Yes,18,16,2,3,3
1609,14283,No,44,23,1,4,6
1616,31776,No,12,11,4,1,1
1622,19903,Yes,5,6,2,1,6
1624,43596,No,36,17,1,1,4
1626,41073,No,18,10,1,4,2
1635,10687,Yes,47,13,3,4,6
1641,30210,Yes,43,23,1,10,5
1643,20324,Yes,4,27,2,22,8
1650,27480,No,17,16,2,5,1
1660,16842,Yes,33,23,3,7,4
1664,29921,No,9,16,3,1,1
1666,25420,Yes,6,7,2,4,5
1670,13083,Yes,45,24,4,12,10
1681,37226,No,12,9,4,1,4
1682,23472,Yes,18,11,2,1,1
1693,9095,Yes,18,11,4,2,1
1694,23256,No,20,14,1,2,2
1704,38613,Yes,21,20,2,1,3
1716,30066,No,19,17,1,5,6
1718,43950,Yes,0,28,3,6,13
1720,20294,No,43,31,4,7,17
1721,49792,No,21,25,3,21,11
1722,37836,No,22,13,3,2,3
1727,24314,Yes,20,34,3,8,13
1728,45451,Yes,38,25,4,6,6
1731,1737,Yes,20,5,1,1,5
1735,46813,Yes,24,9,2,5,8
1743,18136,Yes,22,30,4,4,7
1745,37116,Yes,46,36,3,31,22
1748,44052,Yes,44,4,2,1,1
1752,42271,Yes,21,11,3,1,1
1753,44960,Yes,13,31,3,7,3
1760,50720,No,25,6,1,5,3
1761,27843,Yes,24,26,4,1,10
1764,31597,No,0,13,1,2,2
1782,19335,No,21,37,4,1,1
1785,31352,Yes,45,8,4,1,1
1786,31034,No,48,20,2,1,4
1800,42282,No,38,1,3,1,1
1802,3005,Yes,41,35,4,2,2
1805,49715,Yes,30,36,4,20,4
1815,37705,Yes,32,32,1,14,13
1817,38654,No,20,21,2,3,1
1819,7369,Yes,15,12,3,4,4
1821,19536,No,25,33,1,1,6
1833,48487,No,28,22,3,2,2
1834,29610,No,10,8,4,3,2
1843,32259,No,35,20,2,5,5
1848,50561,No,36,3,3,2,1
1858,47393,Yes,43,13,3,1,2
1866,48462,No,1,15,1,12,2
1868,2753,No,13,2,2,1,1
1871,2714,No,47,38,1,14,17
1877,44259,Yes,6,12,3,4,2
1880,37235,Yes,5,7,4,1,2
1881,34741,No,21,10,4,1,1
1886,21747,No,17,22,1,7,1
1890,10189,Yes,31,5,3,2,2
1891,40059,Yes,23,18,4,4,4
1901,41445,Yes,31,30,1,15,17
1902,45296,No,16,8,3,1,1
1910,26308,No,16,4,3,2,1
1920,39600,No,27,36,2,2,19
1923,7897,Yes,17,35,1,17,9
1925,41689,Yes,45,7,4,4,5
1927,1323,Yes,24,33,1,25,10
1931,44490,No,20,36,4,5,1
1934,6161,No,16,18,4,1,2
1941,4771,Yes,13,18,2,5,10
1947,46946,No,19,17,4,1,5
1948,48372,Yes,25,9,2,1,1
1950,43086,Yes,36,31,3,20,7
1951,33640,Yes,4,4,3,1,1
1958,41504,No,14,16,3,7,3
1969,50686,No,45,38,4,19,22
1972,3429,Yes,46,23,4,11,4
1976,2117,No,5,38,3,2,1
1977,27889,Yes,18,15,2,2,5
1998,39988,No,46,13,4,9,4
1999,4674,No,29,6,1,3,3
2002,32454,Yes,7,34,4,23,13
2005,9082,No,17,36,3,7,3
2011,21299,Yes,16,23,4,1,3
2013,42596,No,34,33,4,7,27
2014,29513,Yes,26,33,3,11,15
2018,15886,No,47,36,4,8,1
2023,45392,Yes,36,25,3,22,11
2024,44029,No,40,36,3,21,14
2027,7388,Yes,1,40,4,25,1
2029,19391,No,6,11,4,3,9
2043,44774,Yes,4,5,4,1,1
2047,4715,Yes,16,39,2,5,4
2050,48127,No,10,14,2,2,1
2064,1657,Yes,20,18,4,3,6
2066,2796,No,7,25,4,24,1
2069,44692,Yes,7,14,1,4,6
2070,5245,Yes,22,18,3,1,1
2071,16846,Yes,39,19,1,18,14
2077,22255,No,17,16,3,13,13
2078,18528,No,26,19,4,5,6
2084,42308,Yes,35,40,1,13,21
2085,44130,Yes,32,29,1,2,5
2087,36845,No,6,40,2,12,23
2090,32142,No,24,34,1,4,6
2091,17447,Yes,40,18,4,3,1
2098,22628,No,40,34,1,6,2
2117,26998,Yes,22,23,1,1,19
2118,28418,Yes,41,22,2,1,1
2120,31365,No,34,8,4,5,1
2128,35607,No,41,32,4,14,20
2134,26896,No,40,21,3,12,9
2138,28071,No,34,35,3,11,11
2151,21706,No,41,16,3,2,7
2153,47634,Yes,48,28,2,12,10
2155,35758,Yes,48,28,1,6,4
2156,3234,Yes,16,20,3,3,2
2160,42664,No,48,40,2,5,2
2168,38118,Yes,9,1,2,1,1
2170,48480,No,26,11,3,4,8
2171,48364,Yes,43,6,1,4,3
2178,3482,Yes,48,11,4,8,2
2182,16854,No,19,4,1,2,1
2187,28477,Yes,20,20,3,9,8
2188,43426,Yes,1,14,2,9,9
2189,10262,Yes,18,8,2,5,1
2192,7693,No,1,7,1,1,2
2196,12575,No,29,23,4,4,11
2203,12622,No,35,13,2,4,6
2206,4322,Yes,5,20,1,18,2
2207,31360,No,16,29,4,5,17
2209,37309,Yes,42,13,2,4,10
2226,29912,No,35,35,3,8,8
2230,38247,No,7,9,4,1,7
2231,49860,No,42,19,1,1,2
2232,19096,No,14,13,1,8,9
2240,5044,Yes,33,7,1,6,3
2248,39879,Yes,16,4,1,1,3
2250,1333,Yes,47,25,2,7,9
2256,5413,No,37,15,2,2,1
2259,7882,Yes,30,13,3,4,4
2262,20148,Yes,24,11,3,2,5
2268,41254,Yes,42,18,1,14,2
2275,16051,No,23,39,2,15,11
2281,19666,No,19,6,2,1,1
2282,2229,No,33,21,3,21,1
2283,47136,Yes,18,27,1,8,8
2285,19619,Yes,46,3,3,1,1
2287,45297,Yes,10,2,3,1,1
2293,13462,Yes,47,12,4,5,12
2298,47915,No,35,13,3,3,2
2300,46162,Yes,43,12,3,3,3
2302,32491,No,22,23,2,1,10
2311,13612,Yes,40,12,1,3,2
2315,7482,No,18,19,3,5,4
2316,17107,Yes,36,20,4,7,7
2323,44241,Yes,25,34,3,10,4
2328,46636,No,39,8,1,2,7
2332,2204,No,37,4,1,2,2
2341,48044,No,21,11,3,3,1
2346,38580,No,5,3,2,1,1
2355,50085,Yes,23,19,3,16,12
2358,28326,No,33,19,3,11,13
2361,29311,Yes,41,14,4,2,7
2366,28464,Yes,35,10,4,1,2
2369,9029,No,33,19,1,17,11
2371,44943,No,12,14,2,4,3
2375,33214,Yes,39,18,4,6,4
2389,4725,No,47,16,3,1,3
2390,30002,No,1,19,4,1,1
2395,43837,No,37,31,4,1,4
2396,11444,No,44,19,3,8,6
2397,47845,Yes,42,38,4,4,9
2402,26337,Yes,8,34,4,30,15
2406,28202,No,41,21,3,1,1
2409,38768,No,2,6,2,5,6
2410,43925,Yes,15,2,4,1,1
2416,4834,No,18,11,4,4,1
2420,48051,Yes,45,28,2,11,10
2423,39000,No,48,16,1,3,3
2424,43964,No,17,23,2,1,2
2428,36518,Yes,29,20,3,13,5
2430,8275,Yes,40,5,1,2,2
2432,39428,Yes,32,1,3,1,1
2438,43348,Yes,25,4,4,2,1
2444,46453,Yes,30,35,3,14,16
2466,20860,Yes,16,33,1,24,11
2472,31396,Yes,40,26,1,6,1
2481,40425,No,8,7,4,1,4
2487,32613,No,42,12,1,1,2
2489,48926,Yes,16,25,3,9,4
2491,15810,No,28,34,1,3,14
2495,31046,Yes,6,39,4,14,15
2496,25075,Yes,40,1,4,1,1
2497,34515,No,34,9,2,4,5
2511,36344,No,38,23,2,1,1
2514,8271,Yes,17,9,4,1,1
2515,43455,Yes,9,6,2,3,3
2522,9823,No,20,40,3,9,2
2525,37485,Yes,14,40,2,9,4
2527,49725,Yes,37,19,2,5,7
2531,38002,No,48,8,3,2,3
2532,44901,No,30,5,4,1,1
2534,49701,No,12,34,4,2,1
2538,11598,Yes,2,8,1,2,4
2540,15147,No,32,31,4,2,4
2541,45628,Yes,25,36,3,1,1
2550,35196,Yes,34,12,3,4,6
2561,4753,No,16,5,3,1,2
2570,39606,No,34,29,2,6,16
2576,41035,Yes,28,17,4,10,13
2577,14337,No,9,30,4,13,8
2579,31572,Yes,46,14,2,2,1
2584,24456,No,27,39,2,10,19
2586,34199,Yes,22,7,2,1,1
2588,3912,No,10,25,2,18,14
2589,5035,No,16,24,2,9,2
2594,34077,Yes,42,12,4,5,3
2597,2740,Yes,23,14,3,8,3
2599,31161,Yes,39,36,1,1,19
2603,44991,No,15,19,3,13,5
2604,4381,Yes,19,32,4,14,21
2605,9284,No,11,21,1,1,2
2606,29869,Yes,5,35,1,6,15
2607,25589,No,47,30,2,5,9
2610,20124,Yes,6,1,3,1,1
2612,39084,Yes,20,25,2,18,7
2617,3111,No,41,10,1,1,6
2618,24213,Yes,1,3,1,1,2
2619,3678,No,43,30,2,19,6
2620,37359,No,23,19,1,7,4
2621,48399,No,44,5,3,5,5
2624,7649,No,21,3,4,2,1
2626,47886,No,11,1,4,1,1
2628,22034,Yes,28,30,1,4,1
2630,39611,No,17,38,4,24,22
2635,27529,Yes,13,14,4,8,2
2640,30064,No,11,5,4,2,2
2642,1541,Yes,27,15,2,8,10
2653,21071,Yes,45,23,4,6,6
2655,30616,No,13,37,4,15,11
2656,42362,Yes,43,7,1,5,1
2660,42984,No,42,11,1,3,4
2669,30801,Yes,35,28,4,10,10
2670,50243,No,45,22,2,7,9
2671,38434,Yes,24,12,4,3,3
2676,14969,Yes,0,3,2,2,1
2678,41778,No,47,9,2,2,9
2681,18167,Yes,28,6,2,2,2
2686,15898,No,17,29,2,2,2
2696,20142,No,39,24,2,9,7
2697,40567,Yes,29,10,3,3,3
2702,39136,No,15,22,2,2,8
2704,7227,Yes,32,35,2,12,14
2707,15375,No,32,33,2,7,4
2717,23094,Yes,40,26,1,12,1
2719,35393,No,36,27,4,12,1
2725,24131,No,16,28,3,5,1
2730,18062,Yes,7,10,1,4,3
2732,30845,Yes,30,6,2,1,1
2733,47679,No,32,8,3,3,1
2744,8523,Yes,27,29,4,1,6
2749,11818,No,42,19,1,6,12
2752,5263,Yes,20,23,4,1,1
2757,32244,Yes,1,4,2,1,1
2765,34847,Yes,33,32,3,14,8
2774,9172,No,3,32,1,4,1
2775,10971,Yes,42,12,3,2,4
2776,48079,Yes,29,33,1,3,21
2778,40041,No,27,21,4,6,5
2788,27981,Yes,44,11,1,6,3
2789,45837,Yes,30,28,3,6,2
2790,5004,Yes,1,4,1,2,1
2791,7765,No,29,31,1,5,5
2793,28496,Yes,28,24,2,4,4
2794,24872,Yes,36,17,3,5,4
2796,43076,Yes,29,39,2,13,12
2799,20912,Yes,28,40,3,2,2
2803,20005,Yes,31,25,2,1,3
2811,23931,Yes,7,31,1,9,1
2813,38133,No,3,7,1,5,7
2814,47736,No,25,31,4,18,17
2816,22209,Yes,14,24,2,5,6
2819,12898,Yes,11,25,2,18,13
2820,29217,Yes,11,35,2,5,3
2821,19599,No,33,25,4,3,1
2825,47023,Yes,37,32,3,1,1
2837,13321,No,32,18,2,5,2
2843,48199,Yes,9,17,3,2,2
2857,1304,No,43,27,2,6,6
2860,37974,Yes,24,10,2,4,3
2864,34944,Yes,5,31,3,2,1
2865,11342,No,10,9,4,1,2
2867,46037,Yes,39,1,1,1,1
2868,4244,No,32,14,2,1,3
2871,15240,Yes,5,15,3,7,3
2883,26149,No,34,37,4,17,1
2893,34424,Yes,10,29,2,11,18
2899,22499,No,7,5,4,1,4
2903,40971,No,45,33,1,17,17
2911,7047,No,1,1,2,1,1
2924,3037,No,3,28,1,10,3
2926,1372,Yes,46,40,1,17,17
2934,29748,No,32,37,2,14,14
2936,11126,No,26,11,4,7,6
2937,39819,Yes,4,6,1,4,2
2939,50568,No,13,40,2,2,19
2944,29881,No,27,39,1,1,1
2946,37373,No,22,21,1,15,6
2948,32232,No,22,6,3,1,3
2953,25549,Yes,34,16,1,7,2
2957,5380,Yes,38,9,4,1,1
2964,6200,No,16,11,4,6,2
2971,1838,Yes,3,34,3,22,20
2975,41706,No,45,39,2,7,7
2979,32397,No,39,39,1,1,2
2985,19722,No,21,39,2,5,24
2992,16225,Yes,31,1,3,1,1
3000,30971,Yes,29,29,4,9,10
3002,41952,No,2,12,1,1,1
3004,36650,Yes,18,20,4,16,4
3015,35436,Yes,36,25,3,1,4
3021,40447,No,9,16,3,1,1
3023,46138,Yes,25,23,4,6,8
3033,23432,Yes,29,10,4,1,5
3034,24165,No,0,27,2,12,18
3038,14300,Yes,31,3,2,2,1
3043,2997,No,6,22,2,4,2
3048,30500,Yes,32,8,3,1,1
3052,43661,No,11,6,3,3,1
3059,26770,No,26,8,3,3,3
3061,27891,Yes,31,15,4,1,1
3064,6139,Yes,14,22,2,17,14
3068,10759,Yes,29,35,3,14,12
3071,17078,Yes,5,28,4,21,4
3074,43314,Yes,7,14,3,3,5
3075,24790,No,21,38,3,11,4
3076,47161,No,49,32,2,8,18
3077,38260,No,16,6,1,2,3
3084,28140,No,33,14,2,4,6
3092,28087,No,6,38,3,27,30
3094,49700,Yes,10,14,1,5,13
3098,25494,Yes,35,25,2,7,14
3101,40941,Yes,18,35,3,14,17
3105,34512,No,17,17,3,4,10
3106,9210,No,46,39,2,2,15
3107,27161,No,13,35,4,9,28
